A22J,牧場物語 ふたごの村+
ARBJ,ラビッツ タイム・トラベル
ARBP,Rabbids 3D
ARCJ,みんなでオートレース３Ｄ
ARDP,Arcade Classics 3D
AREE,Super Mario 3D Land
AREP,Super Mario 3D Land
AREW,超級瑪利歐 3D樂園
AREZ,Super Mario 3D Land
ARFP,Reel Fishing Paradise 3D
ARGE,Rise of the Guardians
ARGP,Rise of the Guardians
ARHE,Real Heroes: Firefighter 3D
ARKJ,鉄道にっぽん！路線たび 鹿島臨海鉄道編
ARMJ,レイマン オリジン
ARMP,Rayman Origins
ARPJ,雷子 紺碧の章
ARRE,Ridge Racer 3D
ARRP,Ridge Racer 3D
ARSP,Riding Star 3D
ARTP,Rhythm Thief & the Emperor's Treasure
ARUJ,オール仮面ライダー ライダーレボリューション
ARVE,Sonic Lost World
ARVP,Sonic Lost World
ARXP,Beyblade Evolution
ARYE,Rayman 3D
ARYP,Rayman 3D
ARZJ,創作アリスと王子さま！
AS2D,Schlag den Raab: Das 2. Spiel
AS3E,The Sims 3
AS3J,ザ・シムズ3
AS3P,The Sims 3
AS4E,The Sims 3: Pets
AS4J,ザ・シムズ3 ペット
AS4P,The Sims 3: Pets
AS7E,Spider-Man: Edge of Time
AS7F,Spider-Man: Aux Frontieres du Temps
AS7P,Spider-Man: Edge of Time
AS7Z,Spider-Man: Edge of Time
AS8D,The Amazing Spider-Man
AS8E,The Amazing Spider-Man
AS8P,The Amazing Spider-Man
AS9E,Nikoli's Pencil Puzzle
AS9J,数独と3つのパズル～ニコリのパズルバラエティ～
AS9P,Sudoku: The Puzzle Game Collection
ASAP,Secret Agent Files: Miami
ASBE,Super Black Bass 3D
ASBJ,スーパーブラックバス 3Dファイト
ASBP,Super Black Bass 3D
ASCJ,Tom Clancy's スプリンターセル 3D
ASCP,Tom Clancy's Splinter Cell 3D
ASDE,Steel Diver
ASDJ,スティールダイバー
ASDP,Steel Diver
ASEP,Secrets of the Titanic
ASFE,Asphalt 3D
ASFJ,ASPHALT 3D：NITRO RACING
ASFP,Asphalt 3D
ASGE,SpongeBob SquigglePants 3D
ASGP,SpongeBob SquigglePants
ASHE,Mahjong Cub3D
ASHJ,上海3Dキューブ
ASKJ,両目で右脳を鍛える 3D速読術
ASLP,Scribblenauts Unlimited
ASLX,Scribblenauts Unlimited
ASMJ,スーパーモンキーボール3D
ASMP,Super Monkey Ball 3D
ASNP,Sonic Generations
ASPE,Skylanders: Spyro's Adventure
ASPJ,スカイランダーズ スパイロの大冒険
ASPP,Skylanders: Spyro's Adventure
ASRE,Brain Age: Concentration Training
ASRP,Dr Kawashima's Devilish Brain Training: Can you stay focused?
ASRW,腦科學專家 川島隆太博士監修 突破極限 腦的５分鐘魔鬼鍛鍊
ASSP,Super Street Fighter IV 3D Edition
ASVE,Shinobi
ASVJ,Shinobi 3D
ASVP,Shinobi
ASXP,Secret Mysteries in London
AT2P,Harvest Moon 3D: The Tale of Two Towns
AT3E,Kirby: Planet Robobot
AT3J,星のカービィ ロボボプラネット
AT3P,Kirby: Planet Robobot
AT3W,Kirby: Planet Robobot
AT5J,ちょ〜りっち！ たまごっちのプチプチおみせっち
AT6J,トリコ グルメモンスターズ！
AT9E,The Oregon Trail
ATAW,ヨッシー New アイランド
ATAZ,Yoshi's New Island
ATFE,Transformers: Dark of the Moon: Stealth Force Edition
ATFP,Transformers: Dark of the Moon - Stealth Force Edition
ATHE,Theatrhythm Final Fantasy
ATHJ,THEATRHYTHM FINAL FANTASY
ATHP,Theatrhythm Final Fantasy
ATJJ,鉄道にっぽん！路線たび 近江鉄道編
ATKE,Tekken 3D: Prime Edition
ATKJ,鉄拳3D プライムエディション
ATKK,철권 3D 프라임 에디션
ATKP,Tekken 3D: Prime Edition
ATLE,Tetris: Axis
ATLP,Tetris
ATNE,The Adventures of Tintin: The Game
ATNJ,タンタンの冒険　★ユニコーン号の秘密★
ATNP,The Adventures of Tintin: The Secret of the Unicorn
ATPE,Transformers Prime: The Game
ATPP,Transformers Prime: The Game
ATQP,Freakyforms Deluxe: Your Creations, Alive!
ATSE,Mario Party: Island Tour
ATSP,Mario Party: Island Tour
ATTE,Combat of Giants: Dinosaurs 3D
ATTJ,コンバット オブ ジャイアント ダイナソー3D
ATTP,Combat of Giants: Dinosaurs 3D
ATUJ,テイルズ オブ ザ ワールド レーヴ ユナイティア
ATXP,My Zoo: Vet Practice 3D
ATZE,The Trash Pack
ATZP,The Trash Pack
AU2J,パチパラ3D 大海物語2 With アグネス・ラム 〜パチプロ風雲録・花 消されたライセンス〜
AU3J,パチパラ3D 大海物語2 〜パチプロ風雲録・花 希望と裏切りの学園生活〜
AU9J,パチパラ3D デラックス海物語 〜パチプロ風雲録・花 孤島の勝負師たち〜
AUCJ,アンチェインブレイズ レクス
AUDJ,デジモンユニバース アプリモンスターズ
AULJ,アトリエ デコ ラ ドール コレクション
AUMJ,パチパラ３Ｄ プレミアム海物語 〜夢見る乙女とパチンコ王決定戦〜
AUNJ,Mario Sports Superstars
AUNK,Mario Sports Superstars
AUNP,Mario Sports Superstars
AUPP,Order Up!!
AUTE,Atooi Collection
AV2P,Survivor 3D: The Ultimate Adventure
AV4J,ウイルスシューターXX
AVAP,Harvest Moon: Skytree Village
AVCJ,更新データ Ver. 1.1 とんがりボウシと魔法の町
AVKP,Viking Invasion 2: Tower Defense
AVNJ,ディスク・ウォーズ：アベンジャーズ　アルティメットヒーローズ
AVRJ,ぼんぼんりぼん　ときめきコーデ・キラキラダンス
AVSE,Professor Layton vs. Phoenix Wright: Ace Attorney
AVSP,Professor Layton vs. Phoenix Wright: Ace Attorney
AVSZ,Professor Layton vs. Phoenix Wright: Ace Attorney
AVTE,Adventure Time: The Secret of the Nameless Kingdom
AVTJ,アドベンチャー・タイム ネームレス王国の3人のプリンセス
AVTP,Adventure Time: The Secret of the Nameless Kingdom
AW2E,Carnival Games: Wild West 3D
AW2P,Carnival Games: Wild West 3D
AW3E,Wipeout 3
AWAE,Pilotwings Resort
AWAP,Pilotwings Resort
AWCJ,ぬいぐるみのケーキ屋さん 〜魔法のパティシエール〜
AWEE,WWE All Stars
AWEP,WWE All Stars
AWFJ,カミワザワンダ キラキラ一番街危機一髪!
AWHJ,すみっコぐらし ここ、どこなんです？
AWJJ,わんニャンどうぶつ病院　ステキな獣医さんになろう！
AWKJ,おしごとテーマパーク２
AWMJ,女の子と密室にいたら○○しちゃうかもしれない。
AWPE,Wipeout 2
AWRE,Wreck-It Ralph
AWRP,Wreck-It Ralph
AWSP,Winter Sports 2012: Feel the Spirit
AWTD,Pro Evolution Soccer 2013 3D
AWTE,Pro Evolution Soccer 2013 3D
AWTI,Pro Evolution Soccer 2013 3D
AWTP,Pro Evolution Soccer 2013 3D
AWXE,WarioWare Gold
AWXJ,メイド イン ワリオ ゴージャス
AWXP,WarioWare Gold
AX5J,ぼくは航空管制官 エアポートヒーロー３Ｄ 那覇 PREMIUM
AX6J,Starry☆Sky〜in Autumn〜3D
AX7J,Starry☆Sky〜in Winter〜3D
AXBP,Inazuma Eleven 3: Bomb Blast
AXBZ,Inazuma Eleven 3: Bomb Blast
AXCE,Super Smash Bros. for Nintendo 3DS
AXCJ,大乱闘スマッシュブラザーズ for Nintendo 3DS
AXCP,Super Smash Bros. for Nintendo 3DS
AXFJ,公益財団法人日本漢字能力検定協会　漢検トレーニング
AXGP,Inazuma Eleven 3: Team Ogre Attacks!
AXGZ,Inazuma Eleven 3: Team Ogre Attacks!
AXRJ,逆転裁判４
AXSP,Inazuma Eleven 3: Lightning Bolt
AXTE,Andro Dunos 2
AXTP,Andro Dunos 2
AXXE,Project X Zone
AXXJ,PROJECT X ZONE
AXXP,Project X Zone
AXYE,The Amazing Spider-Man 2
AXYP,The Amazing Spider-Man 2
AY3J,カルドセプト リボルト
AY3P,Culdcept Revolt
AY6E,Code Name: S.T.E.A.M.
AY6J,Code Name: S.T.E.A.M. リンカーンVSエイリアン
AY6K,Code Name: S.T.E.A.M.
AY6P,Code Name: S.T.E.A.M.
AY8E,Wipeout: Create & Crash
AY9P,Adventure Time: Explore the Dungeon Because I DON'T KNOW!
AYDJ,アクリルパレット〜彩りカフェ・Cheers〜
AYEE,Transformers: Rise of the Dark Spark
AYEP,Transformers: Rise of the Dark Spark
AYGJ,勇現会社ブレイブカンパニー
AYJE,Young Justice: Legacy
AYKJ,妖怪三国志
AYLJ,Fate/kaleid liner プリズマ☆イリヤ
AYME,Mario & Luigi: Dream Team
AYMJ,更新データ Ver. 1.1 マリオ&ルイージRPG4
AYMP,Mario & Luigi: Dream Team Bros.
AYNE,Mario & Luigi: Paper Jam
AYNJ,マリオ＆ルイージRPG ペーパーマリオMIX
AYNP,Mario & Luigi: Paper Jam Bros.
AYPJ,弱虫ペダル 明日への高回転
AYSJ,ペンギンの問題+　爆勝！ルーレットバトル！！
AYTP,Donkey Kong Country Returns 3D
AYWP,YO-KAI WATCH
AYWZ,YO-KAI WATCH
AYZE,Putty Squad
AYZP,Putty Squad
AZBE,Power Rangers Megaforce
AZBP,Power Rangers Megaforce
AZDP,Azada
AZJE,LEGO Friends
AZJP,LEGO Friends
AZKJ,ズーキーパー３Ｄ
AZLE,Puzzler World 2013
AZLP,Puzzler World 2013
AZMJ,PUZZLE & DRAGONS SUPER MARIO BROS. EDITION
AZOE,Zoo Resort 3D
AZOP,Zoo Resort 3D
AZPJ,Starry☆Sky〜in Summer〜3D
AZTJ,AZITO 3D
AZUJ,脱出アドベンチャー　絶望要塞
B2CJ,プリプリちぃちゃん!! プリプリ デコるーむ!
B2KJ,公益財団法人 日本漢字能力検定協会 漢検トレーニング2
B2PJ,アイドルタイムプリパラ 夢オールスターライブ!
B2SJ,スイキャラ スイーツ学校へようこそ!
BA2J,暗殺教室 アサシン育成計画!!
BA3J,アイカツ！365日のアイドルデイズ
BA7J,12歳。～恋する Diary～
BA9J,Medarot 9: Kabuto Ver.
BAAE,Mario Party: Star Rush
BAAJ,マリオパーティ スターラッシュ
BAAP,Mario Party: Star Rush
BALE,Kirby: Triple Deluxe
BALP,Kirby: Triple Deluxe
BAMJ,エルミナージュ異聞　アメノミハシラ・怪
BAQP,Atlantic Quest
BARJ,モンハン日記 ぽかぽかアイルー村DX
BB3J,牧場物語 3つの里の大切な友だち
BB9J,Medarot 9: Kuwagata Ver.
BBMP,Goosebumps: The Game
BBPJ,カタチ新発見！ 立体ピクロス２
BBPP,Picross 3D: Round 2
BBTD,Bibi & Tina: Das Spiel zum Kinofilm
BC2J,ハコボーイ! ハコづめBOX
BC3J,金色のコルダ３ フルボイス Special
BC4J,戦国無双 Chronicle ３
BC5P,Cooking Mama: Bon Appétit!
BC6J,喧嘩番長６〜ソウル＆ブラッド〜
BC8J,ケーキ屋さん物語 おいしいスイーツをつくろう!
BCAJ,メトロイドプライム フェデレーションフォース
BCCE,Conception II: Children of the Seven Stars
BCEJ,FINAL FANTASY EXPLORERS
BCFJ,カードファイト!! ヴァンガードG ストライド トゥ ビクトリー!!
BCHJ,チョコ犬のちょこっと不思議な物語　ショコラ姫と魔法のレシピ
BCLP,Imagine Collection
BCMP,Candy Match 3
BCNJ,すみっコぐらし　ここがおちつくんです
BCPJ,コープスパーティー ブラッドカバー リピーティッドフィアー
BCRJ,エースコンバット 3D クロスランブル＋
BCRP,Ace Combat: Assault Horizon Legacy+
BCZP,Crazy Construction
BD2E,Magical World 2
BD2J,ディズニー マジックキャッスル マイ・ハッピー・ライフ２
BD2P,Magical World 2
BD4D,Die drei Fragezeichen Kids: Jagd auf das Phantom
BD5J,世界樹と不思議のダンジョン2
BD7E,7th Dragon III Code: VFD
BD7J,セブンスドラゴンIII code:VFD
BD7P,7th Dragon III Code: VFD
BD9J,ドラゴンボールヒーローズ アルティメットミッションX
BDAJ,かいておぼえる　ドラがな
BDBJ,ドラゴンボールヒーローズ　アルティメットミッション２
BDEJ,ドラえいご のび太と妖精のふしぎコレクション
BDGJ,大逆転裁判 -成歩堂龍ノ介の冒險-
BDJJ,ダウンタウン熱血物語SP
BDKE,Duck Dynasty
BDLJ,ドラゴンボールフュージョンズ
BDQJ,ドラゴンクエストモンスターズ ジョーカー3 プロフェッショナル
BDSJ,ダービースタリオンGOLD
BDTE,Legends of Oz: Dorothy's Return
BDTP,Legends of Oz: Dorothy's Return
BDUJ,ドラえもん のび太の南極カチコチ大冒険
BDVJ,ドラゴンボールZ　超究極武闘伝
BDXJ,ダウンタウンのガキの使いやあらへんで！！絶対に捕まってはいけないガースー黒光りランド
BDYJ,フューチャーカード　バディファイト　友情の爆熱ファイト！
BDZJ,IslandDays
BE4E,Kirby's Extra Epic Yarn
BE4J,毛糸のカービィ プラス
BEDJ,鉄道にっぽん！路線たび 叡山電車編
BELP,2in1: My Vet Practice 3D: In the Country + My Baby Pet Hotel 3D
BF3J,セガ3D復刻アーカイブス3 FINAL STAGE
BF4J,梨汁ブシャー!! ふなっしー VS DRAGONS
BF6E,2-Pack: Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay
BF6Z,2-Pack: Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay
BFAJ,フューチャーカード バディファイト 目指せ！バディチャンピオン！
BFBJ,フューチャーカード バディファイト 誕生!オレたちの最強バディ!
BFCJ,梨汁アクション！ ふなっしーの愉快なおはなっしー
BFDE,Etrian Mystery Dungeon
BFDJ,世界樹と不思議のダンジョン
BFDP,Etrian Mystery Dungeon
BFEJ,大戦略 大東亜興亡史DX～第二次世界大戦～
BFGJ,モンスターハンター4G
BFGK,몬스터 헌터 4G
BFGP,Monster Hunter 4 Ultimate
BFKJ,セガ3D復刻アーカイブス
BFLJ,Monster Strike
BFMJ,テラフォーマーズ　紅き惑星の激闘
BFNE,Adventure Time: Finn & Jake Investigations
BFNP,Adventure Time: Finn & Jake Investigations
BFPJ,藤子・F・不二雄キャラクターズ 大集合！ SFドタバタパーティー！！
BFRJ,ファミコンリミックス　ベストチョイス
BFSE,Farming Simulator 14
BFSJ,Farming Simulator 14 ポケット農園 2
BFSP,Farming Simulator 14
BFTD,FIFA 15 Legacy Edition
BFTE,FIFA 15: Legacy Edition
BFTP,FIFA 15 Legacy Edition
BFWK,파이어 엠블렘 if
BFXJ,ファイアーエムブレムif 白夜王国
BFXP,Fire Emblem Fates: Birthright
BFXZ,Fire Emblem If: Byakuya Oukoku
BFYJ,ファイアーエムブレムif 暗夜王国
BFYP,Fire Emblem Fates: Conquest
BFZE,Fire Emblem Fates: Special Edition
BFZJ,Fire Emblem If: Special Edition
BFZK,파이어 엠블렘 if
BFZP,Fire Emblem Fates: Limited Edition
BG2J,進撃の巨人〜人類最後の翼〜CHAIN
BG3J,ワンピース 超グランドバトル！Ｘ
BG4J,女神転生4(Ⅳ) ファイナル
BG4P,Shin Megami Tensei IV: Apocalypse
BG5J,Go！プリンセスプリキュア シュガー王国と6人のプリンセス！
BG6J,逆転裁判6
BG7J,ミラクルちゅーんず! ゲームでチューンアップ! だプン!
BG8J,蒼き雷霆 ガンヴォルト ストライカーパック
BG9J,探偵 神宮寺三郎 GHOST OF THE DUSK
BGAJ,進撃の巨人〜人類最後の翼〜
BGDJ,ガイストクラッシャー ゴッド
BGGJ,ぐるぐるたまごっち!
BGHJ,まんが家デビュー物語 ステキなまんがをえがこう
BGJJ,ぐでたま おかわりいかがっすか
BGLJ,ぐでたま　半熟でたのむわー
BGNE,Luigi's Mansion
BGNJ,ルイージマンション
BGNP,Luigi's Mansion
BGPJ,メダロット ガールズミッション カブトVer.
BGQJ,メダロット ガールズミッション クワガタVer.
BGRP,Violetta: Rhythm & Music
BGRZ,Disney Violetta: Rhythm & Music
BGXE,Mario & Sonic at the Rio 2016 Olympic Games
BGXJ,マリオ&ソニック AT リオオリンピック
BGXP,Mario & Sonic at the Rio 2016 Olympic Games
BGYJ,リラックマ　なかよしコレクション
BH2J,ほっぺちゃん　みんなでおでかけ！ワクワクほっぺランド！！
BH3J,ほっぺちゃん　ぷにっとしぼって大冒険！
BH4P,Horse Life 4
BH6E,Big Hero 6: Battle in the Bay
BH6J,ベイマックス　ヒーローズバトル
BH6P,Big Hero 6: Battle in the Bay
BH6Z,Big Hero 6: Battle in the Bay
BHAJ,僕のヒーローアカデミア バトル・フォー・オール
BHCJ,ハピネスチャージプリキュア！かわルン☆コレクション
BHFP,My Life on a Farm 3D
BHQJ,ハイキュー!! 繋げ!頂の景色!!
BHRE,Mario Party: The Top 100
BHRJ,マリオパーティ100 ミニゲームコレクション
BHRP,Mario Party: The Top 100
BHSJ,かわいいペットとくらそう! わんニャン&ミニミニアニマル
BHTJ,ハイキュー!! Cross team match!
BJ3J,ドラゴンクエストモンスターズ ジョーカー 3
BJLP,Jewel Link Double Pack: Safari Quest and Atlantic Quest
BJSJ,JSガール　ドキドキ　モデルチャレンジ
BJWJ,ドーリィ♪カノン　ドキドキ♪トキメキ♪　ヒミツの音楽活動スタートでぇ〜す！！
BK3J,こびとゲーム大全
BKAJ,ぼくは航空管制官 エアポートヒーロー３Ｄ 羽田 ALL STARS
BKCJ,くにおくん熱血コンプリート ファミコン編
BKFE,Kung Fu Panda: Showdown of Legendary Legends
BKFP,Kung Fu Panda: Showdown of Legendary Legends
BKJJ,高円寺女子サッカー3 ~恋するイレブン いつかはヘブン~
BKKJ,禁忌のマグナ
BKLJ,暗殺教室 殺せんせー大包囲網!!
BKQJ,小林が可愛すぎてツライっ!!ゲームでもキュン萌えMAXが止まらないっ(*´ェ`*)
BKRJ,名探偵コナン　ファントム狂詩曲
BKTJ,ハローキティとサンリオキャラクターズ　ワールドロックツアー
BKUJ,メダロット クラシックス カブトVer.
BKVJ,ドラもじ　のび太の漢字大作戦
BKWJ,メダロット クラシックス クワガタVer.
BL2J,ロストヒーローズ２
BL3J,Lost Heroes 2
BL5E,Skylanders SuperChargers Racing
BL5P,Skylanders SuperChargers Racing
BLDE,The Legend of Korra: A New Era Begins
BLFE,Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy
BLFJ,レイトン ミステリージャーニー カトリーエイルと大富豪の陰謀
BLHE,LEGO The Hobbit
BLHP,LEGO The Hobbit
BLHX,LEGO El Hobbit
BLHY,LEGO Der Hobbit
BLHZ,LEGO The Hobbit
BLJJ,LEGO ジュラシック・ワールド
BLJP,LEGO Jurassic World
BLLE,The Legend of Legacy
BLLJ,レジェンド オブ レガシー
BLLP,The Legend of Legacy
BLNJ,LEGOニンジャゴー ニンドロイド
BLNK,LEGO Ninjago - 닌드로이드
BLSJ,LEGO ニンジャゴー ローニンの影
BLSK,닌자고 섀도 오브 로닌
BLSP,LEGO Ninjago: Shadow of Ronin
BLTJ,ご当地鉄道 〜ご当地キャラと日本全国の旅〜
BLWJ,LEGO スター・ウォーズ/フォースの覚醒
BLWK,레고 스타워즈: 깨어난 포스
BLWS,LEGO Star Wars: El Despertar de la Fuerza
BM2P,2in1 Horses 3D Vol.3: My Riding Stables 3D: Jumping for the Team and My Western Horse 3D
BM4P,Outback Pet Rescue 3D
BM5J,見習い魔女とモコモコフレンズ
BM7J,マイメロディ　ねがいがかなう不思議な箱
BM8J,まほコレ〜魔法☆あいどるコレクション〜
BM9J,新・世界樹の迷宮２　ファフニールの騎士
BM9P,Etrian Odyssey 2 Untold: The Fafnir Knight
BMCP,The Mysterious Cities of Gold: Secret Paths
BMDJ,ちゃお イラストクラブ
BMEP,Best Friends My Horse 3D
BMFP,2in1 Horses 3D: My Foal 3D + My Riding Stables 3D: Rivals in the Saddle
BMGP,Life with Horses 3D
BMJP,Mike the Knight and the Great Gallop
BMKJ,メダロット８　カブトVer.
BMMJ,ロックマン クラシックス コレクション
BMNP,Asterix: The Mansions of the Gods
BMPJ,Maple Story　運命の少女
BMPK,메이플스토리 운명의 소녀
BMQJ,メダロット８　クワガタVer.
BMRP,2in1 Horses 3D Vol.2: Rivals in the Saddle and Jumping for the Team 3D
BMSE,Monster High: New Ghoul in School
BMSP,Monster High: New Ghoul in School
BMUE,Teenage Mutant Ninja Turtles: Danger of the Ooze
BMUP,Teenage Mutant Ninja Turtles: Danger of the Ooze
BMVJ,ドリームガール　プルミエ
BMXP,2in1: Life with Horses 3D + My Baby Pet Hotel 3D
BMZJ,世界樹の迷宮V 長き神話の果て
BMZP,Etrian Odyssey V: Beyond the Myth
BN3J,A列車で行こう3D NEO
BNAJ,ぼくは航空管制官 エアポートヒーロー３Ｄ　成田 ALL STARS
BNDE,Pokémon Sun
BNDJ,ポケットモンスター サン
BNDK,포켓몬스터썬
BNDP,Pokémon Sun
BNDW,Pokémon Sun
BNEE,Pokémon Moon
BNEJ,ポケットモンスター ムーン
BNEK,포켓몬스터문
BNEP,Pokémon Moon
BNEW,Pokémon Moon
BNFJ,クマ・トモ
BNGJ,バンダイナムコゲームス PRESENTS Jレジェンド列伝
BNHJ,百ますドラ算 のび太のタイムバトル
BNJJ,ダウンタウン熱血時代劇
BNKJ,ヒーローバンク2
BNLJ,ドラえもん のび太の宝島
BNNJ,ドラえもん 新・のび太の日本誕生
BNPJ,ニコ☆プチ　ガールズランウェイ
BNTE,Teenage Mutant Ninja Turtles
BNUJ,閃乱カグラ２ -真紅-
BNYJ,信長の野望２
BP2J,プリティーリズム・レインボーライブ・きらきらマイ☆デザイン
BP3J,SIMPLEシリーズ for 3DS Vol.3 THE 密室からの脱出 アーカイブス2
BP4J,100%パスカル先生 完璧ペイントボンバーズ
BP5J,プロ野球　ファミスタ　リターンズ
BP6J,ポムポムプリン コロコロ大冒険
BP7J,プリパラ めざめよ！女神のドレスデザイン
BP8J,シャンティ -海賊の呪い-
BPAJ,プリパラ＆プリティーリズム　プリパラでつかえるおしゃれアイテム1450！
BPCE,Pokémon Art Academy
BPCJ,ポケモンアートアカデミー
BPCP,Pokémon Art Academy
BPEE,The Peanuts Movie: Snoopy's Grand Adventure
BPEP,The Peanuts Movie: Snoopy's Grand Adventure
BPFE,Poptropica: Forgotten Islands
BPGE,Penguins of Madagascar
BPGP,Penguins of Madagascar
BPJJ,リズム天国 ザ・ベスト＋
BPJP,Rhythm Paradise Megamix
BPKJ,ぼくは航空管制官 エアポートヒーロー3D 関空 ALL STARS
BPMJ,パックワールド２
BPMP,Pac-Man and the Ghostly Adventures 2
BPNE,SpongeBob HeroPants
BPNP,SpongeBob HeroPants
BPPJ,ポポロクロイス牧場物語
BPRE,Planes: Fire & Rescue
BPRP,Planes: Fire & Rescue
BPUJ,ぷよぷよクロニクル
BPVJ,パズドラクロス 龍の章
BPWJ,パズドラクロス 神の章
BPXE,Pokémon Super Mystery Dungeon
BPXJ,ポケモン超不思議のダンジョン
BPXP,Pokémon Super Mystery Dungeon
BPYJ,実況パワフルプロ野球 ヒーローズ
BPZP,Pazuru
BQ8E,Dragon Quest VIII: Journey of the Cursed King
BQ8J,ドラゴンクエストVIII　空と海と大地と呪われし姫君
BQ8P,Dragon Quest VIII: Journey of the Cursed King
BQRJ,トライブクルクル THE G@ME
BR3E,Cut the Rope: Triple Treat
BR3P,Cut the Rope: Triple Treat
BRAJ,新・ロロナのアトリエ はじまりの物語 〜アーランドの錬金術士〜
BRBJ,ラジアントヒストリア パーフェクトクロノロジー
BRBP,Radiant Historia: Perfect Chronology
BRCJ,Hey！ピクミン
BRDP,One Piece: Romance Dawn
BRDZ,One Piece: Romance Dawn
BREJ,謎解きバトルＴＯＲＥ！伝説の魔宮を復活させよ！
BRGJ,ラングリッサー リインカーネーション-転生-
BRMJ,マリオ＆ルイージRPG1 DX
BRMP,Mario & Luigi: Superstar Saga + Bowser's Minions
BRPE,RPG Maker Fes
BRPJ,RPGツクール フェス
BRPP,RPG Maker Fes
BRQE,Barbie & Her Sisters: Puppy Rescue
BRQP,Barbie & Her Sisters: Puppy Rescue
BRQZ,Barbie & Her Sisters: Puppy Rescue
BRRP,Rayman and Rabbids Family Pack
BRSJ,雷子
BRWZ,Cartoon Network: Battle Crashers
BRXE,Hatsune Miku: Project Mirai DX
BRXJ,初音ミク Project mirai でらっくす
BRXK,Hatsune Miku  Project mirai DX
BRXP,Hatsune Miku: Project Mirai DX
BRZP,3in1 Horses: My Riding Stables 3D: Jumping for the Team + Riding Star 3D + My Western Horse 3D
BS2J,ソニプロ
BS3J,STELLA GLOW
BS5J,ドラえもん　のび太の宇宙英雄記(スペースヒーローズ)
BS6J,ソニックトゥーン ファイアー & アイス
BS6P,Sonic Boom: Fire & Ice
BS7J,七つの大罪 真実の冤罪
BS8E,Cooking Mama: Sweet Shop
BS8J,クッキングママ：わたしのスイーツショップ
BS8P,Cooking Mama: Sweet Shop
BS9E,Skylanders Trap Team
BS9P,Skylanders Trap Team
BSAJ,そろばん・あんざん・フラッシュ暗算 完全版
BSBJ,ワールドサッカーウイニングイレブン 2014 蒼き侍の挑戦
BSED,Bravely Second: End Layer
BSEJ,ブレイブリーセカンド
BSFE,Skylanders Swap Force
BSFP,Skylanders Swap Force
BSGJ,遊んで将棋が強くなる！ 銀星将棋DX
BSJJ,三國志２
BSKE,Etrian Odyssey Untold: The Millennium Girl
BSKJ,新･世界樹の迷宮 ミレニアムの少女
BSKK,신 세계수의 미궁 밀레니엄의 소녀
BSKP,Etrian Odyssey Untold: The Millennium Girl
BSLJ,おさわり探偵　小沢里奈　なめこリズム
BSNJ,瞬足　めざせ！全国最強ランナー
BSQP,Safari Quest
BSRJ,スーパーロボット大戦ＢＸ
BSSE,Power Rangers Super Megaforce
BSSP,Power Rangers Super Megaforce
BSVJ,すみっコぐらし　おみせはじめるんです
BSYE,Sonic Boom: Shattered Crystal
BSYJ,ソニックトゥーン アイランドアドベンチャー
BSYP,Sonic Boom: Shattered Crystal
BT4J,たまごっちのプチプチおみせっち～にんきのおみせあつめました
BT7J,太鼓の達人　どんとかつの時空大冒険
BT7K,태고의 달인 쿵딱쿵딱 시공 대모험
BT8J,太鼓の達人 ドコドン！ミステリーアドベンチャー
BTAJ,ガンダムトライエイジSP
BTBP,Thomas & Friends: Steaming around Sodor
BTDE,How to Train Your Dragon 2
BTDP,How to Train Your Dragon 2
BTEJ,テラリア
BTEP,Terraria
BTFJ,トーマスとあそんでおぼえる　ことばとかずとABC
BTGJ,鉄道にっぽん！路線たび きかんしゃトーマス編 大井川鐵道を走ろう！
BTJJ,鉄道にっぽん！路線たび 上毛電気鉄道編
BTKE,Tenkai Knights: Brave Battle
BTKJ,テンカイナイト ブレイブバトル
BTKP,Tenkai Knights: Brave Battle
BTLE,Tetris Ultimate
BTLP,Tetris Ultimate
BTMJ,LEGO バットマン3 ザ・ゲーム ゴッサムから宇宙へ
BTNE,Teenage Mutant Ninja Turtles: Master Splinter's Training Pack
BTNP,Teenage Mutant Ninja Turtles: Master Splinter's Training Pack
BTPJ,新テニスの王子様〜Go to the top〜
BTQJ,シアトリズム　ドラゴンクエスト
BTRE,Bravely Default
BTRP,Bravely Default
BTUJ,超・逃走中　あつまれ！最強の逃走者たち
BTVJ,１２歳。 〜ほんとのキモチ〜
BTWP,Teenage Mutant Ninja Turtles
BTXJ,鉄道にっぽん! 路線たび 会津鉄道編
BTYJ,鉄道にっぽん！路線たび　ゆいレール編
BTZJ,ドラゴンクエストXI 過ぎ去りし時を求めて
BUBJ,超人ウルトラベースボール　アクションカードバトル
BUSE,The Smurfs
BUSP,The Smurfs
BUTJ,ベイブレードバースト
BUWE,One Piece: Unlimited World Red
BUWP,One Piece: Unlimited World Red
BUXJ,昆虫モンスター　スーパーバトル
BUZJ,ONE PIECE 大海賊闘技場 (ダイカイゾクコロシアム)
BVBJ,ベイブレードバースト ゴッド
BVGJ,カードファイト!! ヴァンガード ロック オン ビクトリー!!
BVSJ,すみっコぐらし むらをつくるんです
BW2J,わんニャンどうぶつ病院　ペットのお医者さんになろう!
BW3J,おそ松さん 松まつり
